BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback,ElevationEligible
10018,-72.4321,40.88232,COM1,NONRES,C1LB,1270124,635062,21.14,23.14,Above DFE,0,0,0
10019,-72.4349,40.87694,RES1,RES,R11N,161250,80625,14.79,18.79,Above DFE,0,0,0
10020,-72.4316999316216,40.8816129669521,RES1,RES,R11N,174867,87434,23.12,23.62,Above DFE,0,0,0
10021,-72.4235,40.87977,IND2,NONRES,I2LB,623564,311782,13.15,13.65,Above DFE,0,0,0
10022,-72.4275,40.87344,RES2,RES,R21N,157021,78511,13.75,16.75,Above DFE,0,0,0
10023,-72.4331,40.87803,COM3,NONRES,C3LB,936955,468478,19.55,21.55,Above DFE,0,0,0
10024,-72.4333,40.88216,RES2,RES,R21B,187089,93545,21.97,23.97,Above DFE,0,0,0
10025,-72.4337,40.88176,RES3B,RES,R3B1N,246251,123126,21.49,24.49,Above DFE,0,0,0
10026,-72.4254,40.88375,RES1,RES,R12N,249634,124817,26.11,27.11,Above DFE,0,0,0
10027,-72.4325,40.8824,IND2,NONRES,I2LN,1099278,549639,21.83,21.83,Above DFE,0,0,0
10028,-72.4358600378037,40.8806760610692,RES1,RES,R12B,315182,157591,13.56,17.56,Above DFE,0,0,0
10029,-72.425,40.88414,RES1,RES,R11N,172034,86017,25.21,26.21,Above DFE,0,0,0
10030,-72.4342,40.88273,RES2,RES,R21N,169327,84664,20.87,21.37,Above DFE,0,0,0
10031,-72.4271,40.88338,RES1,RES,R11B,192544,96272,25.71,28.71,Above DFE,0,0,0
10032,-72.4274,40.87701,RES1,RES,R11N,175671,87836,17.15,18.15,Above DFE,0,0,0
10033,-72.433,40.8838,RES2,RES,R21N,236863,118432,24.65,26.65,Above DFE,0,0,0
10034,-72.4336,40.88427,RES2,RES,R21B,246589,123295,25.06,27.06,Above DFE,0,0,0
10035,-72.4354,40.87443,RES1,RES,R12B,206415,103208,14.67,17.67,Above DFE,0,0,0
10036,-72.4383,40.87493,RES1,RES,R11N,156979,78490,9.88,10.88,Under DFE,0,0,0
10037,-72.4339,40.88338,RES2,RES,R21N,208022,104011,24.12,25.12,Above DFE,0,0,0
10038,-72.4345,40.88221,RES1,RES,R11N,190979,95490,20.13,21.13,Above DFE,0,0,0
10039,-72.4287,40.87923,RES2,RES,R21B,174571,87286,20.37,23.37,Above DFE,0,0,0
10040,-72.4323,40.88209,COM1,NONRES,C1LB,1427335,713668,20.88,22.88,Above DFE,0,0,0
10041,-72.4253565073013,40.8841478189831,RES1,RES,R12N,185270,92635,25.65,26.65,Above DFE,0,0,0
10042,-72.4373781681061,40.8754559140888,RES1,RES,R11N,160954,80477,7.5,11.5,Above DFE,0,0,0
10043,-72.4222,40.87604,RES1,RES,R11N,166706,83353,13.52,15.52,Above DFE,0,0,0
10044,-72.4346,40.8837,RES1,RES,R11B,197746,98873,23.19,25.19,Above DFE,0,0,0
10045,-72.4295,40.87129,REL1,NONRES,RE1LB,404096,202048,4.81,7.81,Under DFE,0,0,1
10046,-72.4281,40.86334,RES3B,RES,R3B1B,174614,87307,3.46,11.46,Above DFE,0,0,0
10047,-72.426,40.87145,RES1,RES,R12N,350526,175263,9.68,10.18,Under DFE,0,0,0
10048,-72.4253699183464,40.8827891503672,RES1,RES,R11N,140825,70413,24.07,27.07,Above DFE,0,0,0
10049,-72.426,40.88338,RES1,RES,R12B,257418,128709,24.31,26.31,Above DFE,0,0,0
10050,-72.4347,40.88143,RES2,RES,R21N,166917,83459,14.34,17.34,Above DFE,0,0,0
