Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_OutFP,2040,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,185.276835686527,1068.05883160917,3252.37509284841,27177.3052617464,50650.4650738571,133509.237559193,241024.075304103,443408.409110772,1178144.13641196,1880925.13064696
RES_OutFP,2040,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.24971544263,3805.15139211105,23504.773868037,33536.769112349,56475.6233595701,87572.8329582062,219569.2382093,773387.860519843,1451878.0235278,4739886.68934607
RES_OutFP,2040,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2040,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334620.182188757
RES_OutFP,2040,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,77419.2130766428,129050.968182596,192837.374958308,351761.835252703,560385.409328101,921246.741702081,1197989.39199333,1702554.14884794,2814758.20163968,4805819.31770055
RES_OutFP,2040,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,129472.498894844,207024.182307948,294871.216438292,427455.284905568,596470.337044985,821673.705955635,1136444.09343944,2201897.21716468,3476034.13512519,9210669.22947503
RES_OutFP,2040,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2040,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2055,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,309024.056573366,1263743.03322958,1373713.43421037,1593614.18208281,1980556.62065532,2457360.74592468,2753658.51749956,3468798.99346472,5940015.7826049,9318351.5934848,28401353.5262003
RES_OutFP,2055,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,407453.226738057,1405923.68613685,1540328.09005876,1808532.56432094,2201897.21716468,2940740.26440068,3673186.4382786,5172940.75456928,7475595.60171417,10897340.1875267,24752670.2760066
RES_OutFP,2055,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,24130.4243625463,236380.245856254,282103.480524993,397450.223414647,522701.972124996,862054.129836146,1100906.74395519,1442384.0074248,2120778.64909764,4818815.21338626,20266202.3658469
RES_OutFP,2055,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,29858.139888579,248040.538294217,310767.108689984,469750.862804473,748594.799333726,1040721.54376377,1451878.0235278,1979669.9799142,3100030.17664519,6022075.31655925,18424773.2467282
RES_OutFP,2055,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354704.267767545,10606733.0083359
RES_OutFP,2055,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929591.968377199,9685172.20712626
RES_OutFP,2055,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,309024.056573366,1263743.03322958,1373713.43421037,1593614.18208281,1980556.62065532,2457360.74592468,2753658.51749956,3468798.99346472,5940015.7826049,9318351.5934848,28401353.5262003
RES_OutFP,2055,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,407453.226738057,1405923.68613685,1540328.09005876,1808532.56432094,2201897.21716468,2940740.26440068,3673186.4382786,5172940.75456928,7475595.60171417,10897340.1875267,24752670.2760066
RES_OutFP,2055,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2055,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2100,No mitigation,50th-percentile,14653671.2661781,14951460.2401544,15756543.3062821,16015160.9855742,16268945.7238223,16583164.1342661,16918563.1921892,17195988.5689065,17398043.8425429,17657852.2953212,20407152.0297506,24540316.6958756,32152488.8121792,51550551.8423904,55035083.491549,60853446.7856927,66523324.5166334,74199164.1885232,78978662.5196365,88839022.2678264,100091989.139228,107854927.716741,114172796.7579
RES_OutFP,2100,No mitigation,90th-percentile,48015337.5034193,49724394.537381,50447536.8164464,51725386.8891476,52498958.8776928,53488102.3801421,54139809.1416591,54927740.2189499,55566054.9815008,56361340.4550882,64494074.4148176,78405327.5528691,98203464.625221,127318694.502805,130992466.230939,133580579.347533,137054831.400528,141378302.490653,149255816.854342,154795561.27767,162337917.944916,171028563.839436,186125148.984605
RES_OutFP,2100,Raise Utilities,50th-percentile,2495249.56063929,2693862.11809146,2910696.52689802,3075060.13221347,3206626.85538866,3325783.70927656,3500327.91878685,3624204.59018409,3713695.22639643,3803243.80002894,4894723.98508933,6730350.8488139,10952921.8914483,27020795.1418384,31528547.4577596,36172580.6353052,43884340.2647309,49547093.320346,54551472.9250617,63050054.425396,73653436.2194391,83091962.2925648,90042232.8251417
RES_OutFP,2100,Raise Utilities,90th-percentile,15633941.3569363,16746607.8607367,17403179.6541494,17661858.134312,18223792.2867531,18660060.7421705,19016949.9458173,19580812.9642229,19934380.8738344,20455049.1881194,25293194.5991196,34990709.9946238,50602302.5558452,77691461.2993887,79202081.3717335,83558053.9583361,87227525.0819743,93984406.5737808,99024982.9542217,103935555.08249,110946199.656104,118455391.380468,135133408.166656
RES_OutFP,2100,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,439770.584029183,11431502.5032225,15370814.0483772,20309663.8493628,26768655.4090474,31470008.8498232,37509327.4019237,44308926.6385592,56343487.508652,65259438.0017848,73324512.5444788
RES_OutFP,2100,WFP B,90th-percentile,0,0,0,0,547.567613608448,9652.26592812975,38791.1944037886,62557.2177497811,121174.046967115,162952.869383191,1486003.09524216,6105348.23226307,14547526.9913541,37977703.4253281,40187645.5903508,42791634.0240261,49024972.5606317,55113821.3688374,59477480.3735898,63271182.6422616,69303096.0290143,77032350.8890563,90306365.4242478
RES_OutFP,2100,Elevate,50th-percentile,14653671.2661781,14951460.2401544,15756543.3062821,16015160.9855742,16268945.7238223,16583164.1342661,16918563.1921892,17195988.5689065,17398043.8425429,17657852.2953212,20407152.0297506,24540316.6958756,32152488.8121792,51550551.8423904,55035083.491549,60853446.7856927,66523324.5166334,74199164.1885232,78978662.5196365,88839022.2678264,100091989.139228,107854927.716741,114172796.7579
RES_OutFP,2100,Elevate,90th-percentile,48015337.5034193,49724394.537381,50447536.8164464,51725386.8891476,52498958.8776928,53488102.3801421,54139809.1416591,54927740.2189499,55566054.9815008,56361340.4550882,64494074.4148176,78405327.5528691,98203464.625221,127318694.502805,130992466.230939,133580579.347533,137054831.400528,141378302.490653,149255816.854342,154795561.27767,162337917.944916,171028563.839436,186125148.984605
