id,occupancy_type,building_type,number_of_stories,area,foundation_type,foundation_height,year_built,ground_elevation,address,longitude,latitude,structure_value,content_value,FFE_ft,Floodplain_Status,TargetYear,Scenario,Action,CumEAD_P05,CumEAD_P50,CumEAD_P95
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P50,WFP B,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P50,Elevate,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P50,WFP 1st,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P90,Baseline,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P90,Raise Utilities,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P90,WFP B,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P90,Elevate,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P90,WFP 1st,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P50,Baseline,0,0,148020.466564185
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P50,Raise Utilities,0,0,119140.934859493
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P50,WFP B,0,0,92610.013430127
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P50,Elevate,0,0,148020.466564185
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P50,WFP 1st,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P90,Baseline,5672.68828947493,85317.7787131108,269241.897740212
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P90,Raise Utilities,0,39455.4345827016,189802.208417885
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P90,WFP B,0,8418.77453419963,144255.892122132
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P90,Elevate,5672.68828947493,85317.7787131108,269241.897740212
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2100,P90,WFP 1st,0,0,0
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P50,Baseline,0,0,69451.4415191373
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P50,Raise Utilities,0,0,44987.5744164237
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P50,WFP B,0,0,25536.6211364237
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P50,Elevate,0,0,0
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P50,WFP 1st,0,0,0
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P90,Baseline,0,0,65431.8258909583
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P90,Raise Utilities,0,0,40661.4963405447
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P90,WFP B,0,0,19724.0718316875
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P90,Elevate,0,0,0
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2040,P90,WFP 1st,0,0,0
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2055,P50,Baseline,0,16219.9511864324,136069.13294097
579512990,RES1-2SNB,W,2,3454.5,S,0.5,1980,7.82726264704704,NaN,-76.99899096,37.574992014,246568.458,123284.229,8.32726264704704,In floodplain,2055,P50,Raise Utilities,0,0,106297.569043798
