BuildingID,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
46011,2055,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2055,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2055,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2055,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,2100,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2025,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2040,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,25901.8248069622,26612.2470129765,28246.6278667193,30186.5240539367,32239.8635366945,36698.7125285342,38772.4722265071,46889.7987688349,55283.5318799022,63732.1336592982
46012,2040,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,28587.316537931,30029.9971383456,31384.1467419108,32747.9595995005,34252.6683873574,37791.798689364,42563.3108759062,49740.1916567451,62726.3406428751,83575.1968059348
46012,2040,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,5901.82480696223,6612.24701297649,8246.62786671932,10186.5240539367,12239.8635366945,15996.4120023735,17884.9129294977,23173.7361348492,31534.2720660583,40502.273272234
46012,2040,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,8587.31653793097,10029.9971383456,11384.1467419108,12747.9595995005,14252.6683873574,17651.113058843,21802.6817033647,27134.606842105,39660.6518261858,60927.8603268997
46012,2040,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2040,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2040,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,25901.8248069622,26612.2470129765,28246.6278667193,30186.5240539367,32239.8635366945,36698.7125285342,38772.4722265071,46889.7987688349,55283.5318799022,63732.1336592982
46012,2040,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,28587.316537931,30029.9971383456,31384.1467419108,32747.9595995005,34252.6683873574,37791.798689364,42563.3108759062,49740.1916567451,62726.3406428751,83575.1968059348
46012,2040,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2040,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46012,2055,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,27013.3843246657,43547.5012893901,47954.4194350744,51202.8948823106,54174.7393686199,57008.4679185939,62105.1300984335,65663.7282846828,73561.2036770369,92616.8841040629,140875.605938874
46012,2055,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,31474.3214264952,60214.5154663892,62599.198105763,66939.0014301857,69567.2145145176,73461.6476315478,80750.1983291337,90892.0291359634,99981.3712650792,112346.366601151,137400.292144785
46012,2055,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,7013.38432466569,20438.7090093668,22654.8005666367,23665.7020122289,26479.95343526,29430.7680842242,31782.715929956,37107.7042768592,43933.8343915334,52655.3307435443,102812.590932088
