Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_InFP,Potential,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,Potential,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2055,Raise Utilities,90th-percentile,684815.349627342,1373224.68667372,1521146.30694244,1783734.66103165,2045766.40005308,2286345.31594392,2589402.73712804,2806502.3101007,3115494.47301433,3351463.64670818,6850945.3561845,13936223.7960135,30288130.2337399,64728663.2830454,69587976.6735355,77821933.2482261,84279184.5497082,100800823.680199,120433233.634655,146646997.387584,175097537.911078,227307545.226096,375281038.049219
RES_OutFP,2055,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,4429523.31794809,5715263.15851295,7381381.78095256,10125291.0257258,17184314.0306823,22860258.1000822,34593408.3214375,62485736.4435103,100298914.296156,275870550.531115
RES_OutFP,2055,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,7209094.5261345,9411468.90919112,12950467.1451717,19403436.1346581,27935864.685301,41668815.9745619,63733841.1025414,76120582.8975749,113878210.132279,252789419.61555
RES_OutFP,2055,Elevate,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2055,Elevate,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2055,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2055,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2100,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2100,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2100,Raise Utilities,50th-percentile,26800606.5777456,30879693.1323253,34973351.9155294,37506677.8121937,40807575.6105774,42998892.071225,44685376.6737704,46180717.0903997,48597249.508739,50087829.779517,67043114.7024411,98589535.9313163,152468992.304083,270001238.704203,286451598.011388,311952079.666856,352825233.332388,421477167.113024,488431578.141823,568954441.438085,627614841.936762,670177000.831485,733844142.335545
RES_OutFP,2100,Raise Utilities,90th-percentile,232433337.144647,243700478.137837,248026028.662771,258317610.622115,265381897.614296,272872625.907544,276643057.007285,283182389.496805,287765612.720553,289608540.430175,334641406.298479,417814952.840006,534544256.94357,688584717.930695,731328574.107177,750240460.027676,786680565.205908,809168750.754836,839678812.114596,877347406.898603,955896136.183985,1046850620.60203,1189182265.70397
RES_OutFP,2100,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,1949877.63529054,21697052.9122241,85552515.7047214,98358656.7335894,128836276.904108,163659133.151003,200356055.829746,269502530.29621,345141632.287443,371437641.030415,435030001.805393,512798391.472726
RES_OutFP,2100,WFP B,90th-percentile,635211.061174331,1185943.03623047,1598767.07655191,2408229.52543862,2903906.68832394,3396338.29910952,3895537.5536283,4244266.94702564,5328347.26577344,6060758.41473912,16917663.8455797,46687566.48229,108552501.135157,232146282.003268,251314963.007241,266311557.846433,285227304.061692,309861560.025173,347782974.927756,383685701.844639,441113382.767649,536644716.945731,618236076.351701
RES_OutFP,2100,Elevate,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
