Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_AboveDFE,2040,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,8238.30148572706,280490.997317512,336083.06543666,446429.806864052,674238.415678129,956699.599912496,1357438.73281912,1604878.63980016,2011314.55459155,3096955.29359242,3971593.15593047
RES_AboveDFE,2040,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,4366.68538159962,333142.167816867,489390.883097208,603505.065043383,779030.249057693,949612.887851484,1221815.32038376,1607917.9341943,2435585.02055049,3476425.23597484,5618451.9582117
RES_AboveDFE,2040,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794.81465314069,9555.60955329159,22931.4206712863,184749.116445923,375912.028476107
RES_AboveDFE,2040,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8362.22875493695,67177.8829000259,269029.561466587,691112.945240938
RES_AboveDFE,2040,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,6528.96634256687,63079.0893598603,425131.21045594,488155.891990109,637910.208165558,817423.84633555,1153918.97642635,1550521.97688268,1858493.25478481,2406567.6628329,3745590.82143431,4790107.52747245
RES_AboveDFE,2040,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,9302.64303336172,57969.7858314637,498351.418598059,629540.337916044,752950.935633634,952242.94514568,1125375.30629113,1397593.76289212,1869691.58607784,2894167.53769479,4243578.65495326,6640729.1656881
RES_AboveDFE,2040,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_AboveDFE,2040,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_AboveDFE,2055,No mitigation,50th-percentile,0,3543.07116148667,6482.01463940622,10824.7517321456,16784.5985351886,20728.2818480306,24279.2539986987,30306.5121782497,34215.2565644469,37471.9627824813,102848.826028804,285853.14055496,923201.317437337,2273025.3479169,2386525.13372412,2623468.67999217,3080162.08180634,3470054.22308184,3814912.48330183,4623845.36282565,5825732.46552668,6919899.56588177,11587898.1591743
RES_AboveDFE,2055,No mitigation,90th-percentile,0,7831.37301451535,14007.8793520092,21575.8772730892,28477.4786499175,37306.497285835,45327.1685290087,49956.0231338382,54146.7856331591,57407.2400216092,131209.453148272,379560.134042155,1118228.02097842,2608377.59070109,2788549.13007756,3146699.58512375,3456570.15172385,4144945.45823884,4851940.75513384,5690158.36964778,6352536.18067253,7545741.29667347,10158661.0868025
RES_AboveDFE,2055,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,9238.91495613626,110034.615846711,686528.253458529,1841028.10002489,1955321.1417665,2117356.91810654,2490820.98618621,2814618.34419929,3115533.84363775,3770769.5087361,4873202.89621243,5742035.72814517,10014968.6839937
RES_AboveDFE,2055,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,16004.193406906,181354.439278827,840376.431395957,2105838.02835318,2316613.62232791,2587293.6749374,2810514.59627445,3389401.63902069,3949019.4166033,4671568.79699041,5302241.02460365,6302123.13448333,8695161.25028058
RES_AboveDFE,2055,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,8809.7787472991,13278.4218449392,19804.0241900054,27617.5358560356,78336.0176313895,159272.830331844,266278.761300209,396847.419964144,698171.735961039,2056419.0159636
RES_AboveDFE,2055,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,9477.0381927991,14955.5020473442,23142.9363530525,57329.7898019119,119310.820030421,268021.321239156,386148.138008365,539453.225703679,785330.692361383,1793800.20235694
RES_AboveDFE,2055,Elevate,50th-percentile,0,3543.07116148667,6482.01463940622,10824.7517321456,16784.5985351886,20728.2818480306,24279.2539986987,30306.5121782497,34215.2565644469,37471.9627824813,102848.826028804,285853.14055496,923201.317437337,2273025.3479169,2386525.13372412,2623468.67999217,3080162.08180634,3470054.22308184,3814912.48330183,4623845.36282565,5825732.46552668,6919899.56588177,11587898.1591743
RES_AboveDFE,2055,Elevate,90th-percentile,0,7831.37301451535,14007.8793520092,21575.8772730892,28477.4786499175,37306.497285835,45327.1685290087,49956.0231338382,54146.7856331591,57407.2400216092,131209.453148272,379560.134042155,1118228.02097842,2608377.59070109,2788549.13007756,3146699.58512375,3456570.15172385,4144945.45823884,4851940.75513384,5690158.36964778,6352536.18067253,7545741.29667347,10158661.0868025
RES_AboveDFE,2055,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_AboveDFE,2055,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_AboveDFE,2100,No mitigation,50th-percentile,26642728.9497493,27315019.3122774,28360736.8072062,28723959.1020367,29023263.8358949,29432624.3831549,29754561.4300122,29946514.6418755,30189624.8037948,30381729.5481517,33672453.2589412,37845412.7732656,42375037.8081344,48105499.883573,48608521.2423798,49184506.0558769,49676802.0909043,50275488.9639994,51335284.4095426,52829687.1562053,53693066.6412093,55980632.6711759,57594906.8166868
RES_AboveDFE,2100,No mitigation,90th-percentile,62819810.0196195,64184370.7920353,65446764.8673956,65836921.5543938,66967494.0155503,67376773.5510164,67891834.0547574,68519753.4774222,68941802.3996036,69278625.6458162,73730099.2851022,79695011.3687634,86568264.053078,93051966.597378,93679695.8338557,94204489.0540078,95741279.3217742,96462345.3437581,97436736.5131335,98791695.0035882,99941765.2584067,102021502.350835,106147071.940645
RES_AboveDFE,2100,Raise Utilities,50th-percentile,21811863.8612131,22481781.7571334,23275399.2683151,23593332.8969594,24003281.9535378,24278092.5405071,24475627.5474412,24690709.9131814,24877258.4647662,25030029.3817962,27805148.9237406,31385075.7931649,35230138.7580708,40201744.6872675,40551467.6355239,41152020.475017,41645639.2170937,42359489.0735036,43148591.877747,44432873.8956879,45262284.2841133,47114788.5278492,48397760.2015359
RES_AboveDFE,2100,Raise Utilities,90th-percentile,52551012.2739816,53593931.2225285,54395821.5807267,55194029.2974789,55869616.9792432,56390668.1296545,56733214.8782432,57204687.9462361,57496812.5237175,57813356.5755539,61719385.5035865,66856709.1446352,72873368.9408676,78543255.482009,79075909.8186985,79828348.2481231,80820341.2154787,81405843.8335183,82419482.3343917,83394162.1888404,84283202.4215613,86379853.048226,89892093.3113056
RES_AboveDFE,2100,WFP B,50th-percentile,80546.1877023289,100899.336888231,118731.287889433,140178.540607338,160498.281870576,182791.089885002,201706.612511872,217071.846237825,232653.450205712,246447.450120729,428838.126174576,773418.159182883,1368654.36340481,2698352.25761609,2947680.25377933,3175071.06050371,3591871.04413631,3881799.01103461,4259253.38814169,4660838.86220906,5216125.25736408,5586046.89859496,6022282.76672073
RES_AboveDFE,2100,WFP B,90th-percentile,1971569.76794392,2138053.29635781,2292111.97397309,2360544.97980005,2435688.87554742,2500938.882414,2541359.05666134,2578627.41790685,2629198.28416857,2712232.04671527,3359160.2348217,4414072.27121104,5892085.89603237,7555254.2206725,7750172.28692591,7962270.16078496,8190220.41577593,8471703.537548,8835905.37715382,9121821.81580706,9563685.14873651,10167386.3981598,11424791.0637156
RES_AboveDFE,2100,Elevate,50th-percentile,26642728.9497493,27315019.3122774,28360736.8072062,28723959.1020367,29023263.8358949,29432624.3831549,29754561.4300122,29946514.6418755,30189624.8037948,30381729.5481517,33672453.2589412,37845412.7732656,42375037.8081344,48105499.883573,48608521.2423798,49184506.0558769,49676802.0909043,50275488.9639994,51335284.4095426,52829687.1562053,53693066.6412093,55980632.6711759,57594906.8166868
RES_AboveDFE,2100,Elevate,90th-percentile,62819810.0196195,64184370.7920353,65446764.8673956,65836921.5543938,66967494.0155503,67376773.5510164,67891834.0547574,68519753.4774222,68941802.3996036,69278625.6458162,73730099.2851022,79695011.3687634,86568264.053078,93051966.597378,93679695.8338557,94204489.0540078,95741279.3217742,96462345.3437581,97436736.5131335,98791695.0035882,99941765.2584067,102021502.350835,106147071.940645
RES_AboveDFE,2100,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_AboveDFE,2100,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NONRES_UnderDFE,2025,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
