BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback
7535558,-72.853254,40.753014,RES1-2SWB,RES,R12B,281611.18,140805.59,3.9695,5.9695,Under DFE,0,0
7535560,-72.853371,40.752432,RES1-2SWB,RES,R12B,367502.57,183751.29,3.7846,5.7846,Under DFE,0,0
7535562,-72.853947,40.753999,RES1-1SNB,RES,R11N,157117.26,78558.63,4.2145,4.7145,Under DFE,0,0
7535564,-72.853578,40.753722,RES1-1SWB,RES,R11B,183094.61,91547.3,3.9114,5.9114,Under DFE,0,0
7535566,-72.853819,40.747646,RES1-1SNB,RES,R11N,191038.62,95519.31,2.8717,3.3717,Under DFE,0,0
7535605,-72.854343,40.75684,RES1-3SWB,RES,R13B,579723.23,289861.62,8.1496,10.1496,Above DFE,0,0
7535607,-72.854419,40.757419,RES1-2SWB,RES,R12B,328047.03,164023.52,9.274,11.274,Above DFE,0,0
7535636,-72.854269,40.751156,RES1-2SNB,RES,R12N,408753.23,204376.61,4.8179,5.3179,Under DFE,0,0
7535638,-72.854425,40.751125,RES1-1SWB,RES,R11B,196580.33,98290.16,4.4678,6.4678,Under DFE,0,0
7535640,-72.855128,40.750805,RES1-1SNB,RES,R11N,192364.05,96182.02,3.4857,3.9857,Under DFE,0,0
7535642,-72.856085,40.751163,RES1-1SNB,RES,R11N,204097.82,102048.91,4.6789,6.1789,Under DFE,0,0
7535644,-72.854686,40.751059,RES1-3SNB,RES,R13N,524909.98,262454.99,5.9115,6.4115,Under DFE,0,0
7535646,-72.85417,40.750839,RES1-1SWB,RES,R11B,226002.73,113001.36,3.6926,5.6926,Under DFE,0,0
7535648,-72.856087,40.751021,RES1-1SWB,RES,R11B,199133.68,99566.84,4.1822,6.1822,Under DFE,0,0
7535650,-72.856058,40.750792,RES1-1SNB,RES,R11N,217237.09,108618.54,3.5736,4.0736,Under DFE,0,0
7535652,-72.855386,40.751102,RES1-1SWB,RES,R11B,219193.33,109596.67,4.0463,6.0463,Under DFE,0,0
7535654,-72.855787,40.750795,RES1-2SNB,RES,R12N,185601.06,92800.53,2.9819,3.4819,Under DFE,0,0
7535656,-72.855942,40.751063,RES1-2SNB,RES,R12N,110586.69,55293.35,4.5193,6.0193,Under DFE,0,0
7535658,-72.85563,40.751081,RES1-1SWB,RES,R11B,244072.18,122036.09,4.1969,6.1969,Under DFE,0,0
7535660,-72.855811,40.751093,RES1-1SWB,RES,R11B,198051.3,99025.65,3.8835,5.8835,Under DFE,0,0
7535662,-72.854866,40.750884,RES1-1SWB,RES,R11B,269568.33,134784.17,3.8022,5.8022,Under DFE,0,0
7535664,-72.854683,40.750816,RES1-1SWB,RES,R11B,289651.92,144825.96,3.8586,5.8586,Under DFE,0,0
7535666,-72.855015,40.751092,COM4,NONRES,C4LN,NaN,NaN,5.0538,5.5538,Under DFE,0,0
7536707,-72.855963,40.758344,RES1-1SWB,RES,R11B,232867.78,116433.89,10.398,12.398,Above DFE,0,0
7536709,-72.855343,40.758142,RES1-2SWB,RES,R12B,380762.38,190381.19,10.7081,12.7081,Above DFE,0,0
7536711,-72.855525,40.758367,RES1-1SWB,RES,R11B,141789.17,70894.59,10.6417,12.6417,Above DFE,0,0
7536713,-72.855643,40.758134,RES1,RES,R11N,233213.15,116606.57,9.9373,11.9373,Above DFE,0,0
